r	z	sc	eng	energy_estimate
3.000000	2.560000	0.000000	3200.000000	0.964736
4.500000	2.560000	0.000000	3200.000000	0.969447
6.750000	2.560000	0.000000	3200.000000	0.984759
10.130000	2.560000	0.000000	3200.000000	0.991851
15.190000	2.560000	0.000000	3200.000000	0.991803
4.500000	0.020000	0.000000	2900.000000	0.926496
6.750000	0.020000	0.000000	2900.000000	0.966887
10.130000	0.020000	0.000000	2900.000000	0.961547
2.000000	0.040000	0.000000	2900.000000	0.966884
3.000000	0.040000	0.000000	2900.000000	0.955537
4.500000	0.040000	0.000000	2900.000000	0.924325
6.750000	0.040000	0.000000	2900.000000	0.967573
10.130000	0.040000	0.000000	2900.000000	0.921943
2.000000	0.080000	0.000000	2900.000000	0.960209
3.000000	0.080000	0.000000	2900.000000	0.946448
4.500000	0.080000	0.000000	2900.000000	0.920937
6.750000	0.080000	0.000000	2900.000000	0.974319
10.130000	0.080000	0.000000	2900.000000	0.952710
2.000000	0.160000	0.000000	2900.000000	0.951127
3.000000	0.160000	0.000000	2900.000000	0.933748
4.500000	0.160000	0.000000	2900.000000	0.917540
6.750000	0.160000	0.000000	2900.000000	0.978744
10.130000	0.160000	0.000000	2900.000000	0.959264
2.000000	0.320000	0.000000	2900.000000	0.949400
3.000000	0.320000	0.000000	2900.000000	0.930334
4.500000	0.320000	0.000000	2900.000000	0.916206
6.750000	0.320000	0.000000	2900.000000	0.980659
10.130000	0.320000	0.000000	2900.000000	0.968079
2.000000	0.640000	0.000000	2900.000000	0.949724
3.000000	0.640000	0.000000	2900.000000	0.931478
4.500000	0.640000	0.000000	2900.000000	0.925307
6.750000	0.640000	0.000000	2900.000000	0.981670
10.130000	0.640000	0.000000	2900.000000	0.978636
2.000000	1.280000	0.000000	2900.000000	0.953569
3.000000	1.280000	0.000000	2900.000000	0.942755
4.500000	1.280000	0.000000	2900.000000	0.946384
6.750000	1.280000	0.000000	2900.000000	0.982280
10.130000	1.280000	0.000000	2900.000000	0.987629
15.190000	1.280000	0.000000	2900.000000	0.992807
2.000000	2.560000	0.000000	2900.000000	0.966701
3.000000	2.560000	0.000000	2900.000000	0.964722
4.500000	2.560000	0.000000	2900.000000	0.969434
6.750000	2.560000	0.000000	2900.000000	0.984743
10.130000	2.560000	0.000000	2900.000000	0.991814
15.190000	2.560000	0.000000	2900.000000	0.991802
4.500000	0.020000	0.000000	2600.000000	0.926629
6.750000	0.020000	0.000000	2600.000000	0.963180
10.130000	0.020000	0.000000	2600.000000	0.957240
2.000000	0.040000	0.000000	2600.000000	0.966881
3.000000	0.040000	0.000000	2600.000000	0.955532
4.500000	0.040000	0.000000	2600.000000	0.924357
6.750000	0.040000	0.000000	2600.000000	0.967014
10.130000	0.040000	0.000000	2600.000000	0.942825
2.000000	0.080000	0.000000	2600.000000	0.960204
3.000000	0.080000	0.000000	2600.000000	0.946442
4.500000	0.080000	0.000000	2600.000000	0.920926
6.750000	0.080000	0.000000	2600.000000	0.974260
10.130000	0.080000	0.000000	2600.000000	0.954414
2.000000	0.160000	0.000000	2600.000000	0.951119
3.000000	0.160000	0.000000	2600.000000	0.933741
4.500000	0.160000	0.000000	2600.000000	0.917532
6.750000	0.160000	0.000000	2600.000000	0.978637
10.130000	0.160000	0.000000	2600.000000	0.958710
2.000000	0.320000	0.000000	2600.000000	0.949391
3.000000	0.320000	0.000000	2600.000000	0.930325
4.500000	0.320000	0.000000	2600.000000	0.916198
6.750000	0.320000	0.000000	2600.000000	0.980597
10.130000	0.320000	0.000000	2600.000000	0.966382
2.000000	0.640000	0.000000	2600.000000	0.949712
3.000000	0.640000	0.000000	2600.000000	0.931469
4.500000	0.640000	0.000000	2600.000000	0.925302
6.750000	0.640000	0.000000	2600.000000	0.981644
10.130000	0.640000	0.000000	2600.000000	0.978015
2.000000	1.280000	0.000000	2600.000000	0.953556
3.000000	1.280000	0.000000	2600.000000	0.942745
4.500000	1.280000	0.000000	2600.000000	0.946376
6.750000	1.280000	0.000000	2600.000000	0.982267
10.130000	1.280000	0.000000	2600.000000	0.987369
15.190000	1.280000	0.000000	2600.000000	0.992807
2.000000	2.560000	0.000000	2600.000000	0.966686
3.000000	2.560000	0.000000	2600.000000	0.964708
4.500000	2.560000	0.000000	2600.000000	0.969420
6.750000	2.560000	0.000000	2600.000000	0.984728
10.130000	2.560000	0.000000	2600.000000	0.991774
15.190000	2.560000	0.000000	2600.000000	0.991802
4.500000	0.020000	0.000000	2300.000000	0.926779
6.750000	0.020000	0.000000	2300.000000	0.962352
10.130000	0.020000	0.000000	2300.000000	0.932764
2.000000	0.040000	0.000000	2300.000000	0.966878
3.000000	0.040000	0.000000	2300.000000	0.955527
15.190000	2.560000	0.000000	2000.000000	0.991800
4.500000	0.020000	-0.100000	5000.000000	0.926446
6.750000	0.020000	-0.100000	5000.000000	0.966599
10.130000	0.020000	-0.100000	5000.000000	0.860246
2.000000	0.040000	-0.100000	5000.000000	0.966917
3.000000	0.040000	-0.100000	5000.000000	0.955576
4.500000	0.040000	-0.100000	5000.000000	0.924339
6.750000	0.040000	-0.100000	5000.000000	0.966679
