# iter time(ns) max_DgradR max_DgradZ max_vRrho max_vZrho
105 7.966 3.2393608004e-02 4.6008219013e-02 1.2212409870e+01 1.1156024044e+01
106 8.043 3.2243368765e-02 4.5854213162e-02 1.2162033355e+01 1.1110005149e+01
107 8.121 3.1762247888e-02 4.5179911975e-02 1.2013194110e+01 1.0974040649e+01
108 8.198 3.1188428963e-02 4.4427631898e-02 1.1873793741e+01 1.0833109828e+01
109 8.275 3.0968110485e-02 4.4137057603e-02 1.1836160107e+01 1.0798774610e+01
110 8.353 3.0598934239e-02 4.3660049422e-02 1.1705299522e+01 1.0679383359e+01
111 8.430 3.0043450768e-02 4.3097652887e-02 1.1551299603e+01 1.0525783953e+01
112 8.507 2.9765743411e-02 4.2464242468e-02 1.1525384707e+01 1.0502169762e+01
113 8.585 2.9492899582e-02 4.2160155694e-02 1.1410811814e+01 1.0397768564e+01
114 8.662 2.8957318088e-02 4.1777602954e-02 1.1269960756e+01 1.0257150662e+01
115 8.739 2.8628046722e-02 4.1136350002e-02 1.1228509438e+01 1.0219039333e+01
116 8.817 2.8443870786e-02 4.0689811359e-02 1.1129180143e+01 1.0128639981e+01
117 8.894 2.7955796157e-02 4.0464816790e-02 1.1006954385e+01 1.0005483761e+01
118 8.971 2.7552603885e-02 3.9986070102e-02 1.0944540881e+01 9.9484232502e+00
119 9.049 2.7445146603e-02 3.9244324314e-02 1.0859150730e+01 9.8708048854e+00
120 9.126 2.7049974205e-02 3.9168413024e-02 1.0754199358e+01 9.7638239208e+00
121 9.203 2.6572516985e-02 3.8834761748e-02 1.0672478479e+01 9.6893589203e+00
122 9.281 2.6496097278e-02 3.8135739056e-02 1.0600140384e+01 9.6236844128e+00
123 9.358 2.6182270190e-02 3.7884941713e-02 1.0510815072e+01 9.5313296147e+00
124 9.435 2.5714949789e-02 3.7690559006e-02 1.0414139585e+01 9.4436631557e+00
125 9.513 2.5591067033e-02 3.7135917043e-02 1.0351235344e+01 9.3864047100e+00
126 9.590 2.5353094179e-02 3.6624774067e-02 1.0276383995e+01 9.3075836263e+00
127 9.667 2.4893191784e-02 3.6551261257e-02 1.0192405073e+01 9.2315217702e+00
128 9.745 2.4729313158e-02 3.6136332230e-02 1.0111883699e+01 9.1584243348e+00
129 9.822 2.4557954664e-02 3.5752173503e-02 1.0050200222e+01 9.0919096520e+00
130 9.899 2.4154829334e-02 3.5423176309e-02 9.9782486966e+00 9.0268187328e+00
131 9.977 2.3906228452e-02 3.5133882934e-02 9.8813754227e+00 8.9390613479e+00
132 10.054 2.3796973486e-02 3.4872279821e-02 9.8318659339e+00 8.8839135952e+00
133 10.131 2.3463155791e-02 3.4348040926e-02 9.7710223744e+00 8.8289363478e+00
134 10.209 2.3120964550e-02 3.4136064334e-02 9.6591997749e+00 8.7278172328e+00
135 10.286 2.3066404172e-02 3.3983652635e-02 9.6208277127e+00 8.6830634222e+00
136 10.363 2.2797840156e-02 3.3577915022e-02 9.5704901604e+00 8.6376323874e+00
137 10.441 2.2379695059e-02 3.3140141348e-02 9.4606562066e+00 8.5385042026e+00
138 10.518 2.2366193492e-02 3.3092692878e-02 9.4166909456e+00 8.4889737319e+00
139 10.596 2.2155642243e-02 3.2794690853e-02 9.3761136430e+00 8.4523940398e+00
140 10.673 2.1755609331e-02 3.2254499136e-02 9.2784698946e+00 8.3643699961e+00
141 10.750 2.1693122664e-02 3.2197726108e-02 9.2190697190e+00 8.3012675230e+00
142 10.828 2.1537251741e-02 3.2004821794e-02 9.1876871697e+00 8.2730092556e+00
143 10.905 2.1196701636e-02 3.1570705607e-02 9.1013256358e+00 8.1952454228e+00
144 10.982 2.1047101444e-02 3.1304056383e-02 9.0275576656e+00 8.1195537785e+00
145 11.060 2.0939890455e-02 3.1206630635e-02 9.0047790277e+00 8.0990662466e+00
146 11.137 2.0655883938e-02 3.0875488886e-02 8.9291548536e+00 8.0310484536e+00
147 11.214 2.0425386575e-02 3.0582888899e-02 8.8575214630e+00 7.9574921309e+00
148 11.292 2.0364034347e-02 3.0405523873e-02 8.8270963407e+00 7.9302781646e+00
149 11.369 2.0130818072e-02 3.0167727107e-02 8.7615173509e+00 7.8713618901e+00
150 11.446 1.9860682577e-02 2.9966220689e-02 8.7001403993e+00 7.8073054390e+00
151 11.524 1.9807234167e-02 2.9599758772e-02 8.6543338289e+00 7.7663487725e+00
152 11.601 1.9622231538e-02 2.9452086223e-02 8.5983039072e+00 7.7160678471e+00
153 11.678 1.9335394207e-02 2.9334406502e-02 8.5463728245e+00 7.6607570488e+00
