r	z	sc	eng	energy_estimate
22.0	1.4	-0.5	2200.0	0.5041353284851794
24.0	1.4	-0.5	2200.0	0.5774306820667271
6.0	1.6	-0.5	2200.0	0.988252501066406
8.0	1.6	-0.5	2200.0	0.9930517353162723
10.0	1.6	-0.5	2200.0	0.9613414041218816
12.0	1.6	-0.5	2200.0	0.7775248414486097
14.0	1.6	-0.5	2200.0	0.5899433132102242
16.0	1.6	-0.5	2200.0	0.5023914171947382
18.0	1.6	-0.5	2200.0	0.464502084627972
20.0	1.6	-0.5	2200.0	0.49465024639234134
22.0	1.6	-0.5	2200.0	0.5376597533335769
24.0	1.6	-0.5	2200.0	0.6524689439908735
6.0	1.8	-0.5	2200.0	0.9884170239304808
8.0	1.8	-0.5	2200.0	0.993709326901829
10.0	1.8	-0.5	2200.0	0.9824269601530773
12.0	1.8	-0.5	2200.0	0.8630511184423824
14.0	1.8	-0.5	2200.0	0.69005958573782
16.0	1.8	-0.5	2200.0	0.5598433437274053
18.0	1.8	-0.5	2200.0	0.5237781143131736
20.0	1.8	-0.5	2200.0	0.5657478165500588
22.0	1.8	-0.5	2200.0	0.5865415902124695
24.0	1.8	-0.5	2200.0	0.735592204620534
6.0	2.0	-0.5	2200.0	0.9886195087164672
8.0	2.0	-0.5	2200.0	0.9939751999764493
10.0	2.0	-0.5	2200.0	0.9903331586182872
12.0	2.0	-0.5	2200.0	0.9208528977721856
14.0	2.0	-0.5	2200.0	0.7629703186335007
16.0	2.0	-0.5	2200.0	0.6447206704609122
18.0	2.0	-0.5	2200.0	0.6000839156718148
20.0	2.0	-0.5	2200.0	0.6203355153884437
22.0	2.0	-0.5	2200.0	0.650642620392467
24.0	2.0	-0.5	2200.0	0.8154629673367977
6.0	0.0	-0.5	2600.0	0.5682802177266917
8.0	0.0	-0.5	2600.0	0.44041966244626163
10.0	0.0	-0.5	2600.0	0.4154451412706751
12.0	0.0	-0.5	2600.0	0.4023410518486624
14.0	0.0	-0.5	2600.0	0.39509283175150667
16.0	0.0	-0.5	2600.0	0.38931770590108283
18.0	0.0	-0.5	2600.0	0.3843342002712851
20.0	0.0	-0.5	2600.0	0.37941459179579584
22.0	0.0	-0.5	2600.0	0.3745268715192581
24.0	0.0	-0.5	2600.0	0.36975819371236734
6.0	0.2	-0.5	2600.0	0.8848119716455529
8.0	0.2	-0.5	2600.0	0.4352743749934995
10.0	0.2	-0.5	2600.0	0.36906470077504777
12.0	0.2	-0.5	2600.0	0.3498128716892336
14.0	0.2	-0.5	2600.0	0.3459355492830489
16.0	0.2	-0.5	2600.0	0.3506628481465788
18.0	0.2	-0.5	2600.0	0.34941124659057565
20.0	0.2	-0.5	2600.0	0.3486388820264604
22.0	0.2	-0.5	2600.0	0.3467316991488787
24.0	0.2	-0.5	2600.0	0.34547854163440755
6.0	0.4	-0.5	2600.0	0.9757818594619161
8.0	0.4	-0.5	2600.0	0.6217676961774073
10.0	0.4	-0.5	2600.0	0.41172819614530803
12.0	0.4	-0.5	2600.0	0.3735255786254284
14.0	0.4	-0.5	2600.0	0.3579580836932996
16.0	0.4	-0.5	2600.0	0.3523656216706564
18.0	0.4	-0.5	2600.0	0.35044668770238024
20.0	0.4	-0.5	2600.0	0.34760189668037106
22.0	0.4	-0.5	2600.0	0.3498168297465918
24.0	0.4	-0.5	2600.0	0.3551307709918834
6.0	0.6	-0.5	2600.0	0.9859996802537825
8.0	0.6	-0.5	2600.0	0.8006347379756746
10.0	0.6	-0.5	2600.0	0.4737499003676187
12.0	0.6	-0.5	2600.0	0.3909188679829834
14.0	0.6	-0.5	2600.0	0.3653802220423533
16.0	0.6	-0.5	2600.0	0.35558017135519115
18.0	0.6	-0.5	2600.0	0.3498916091108135
20.0	0.6	-0.5	2600.0	0.351474953508104
22.0	0.6	-0.5	2600.0	0.3611424367030342
24.0	0.6	-0.5	2600.0	0.4041656156079441
6.0	0.8	-0.5	2600.0	0.9877008916889229
8.0	0.8	-0.5	2600.0	0.917415732944902
10.0	0.8	-0.5	2600.0	0.5975795176401311
12.0	0.8	-0.5	2600.0	0.41370623785598465
14.0	0.8	-0.5	2600.0	0.38361608308929057
16.0	0.8	-0.5	2600.0	0.36083416416230496
18.0	0.8	-0.5	2600.0	0.3701793859130502
20.0	0.8	-0.5	2600.0	0.3711574087609273
22.0	0.8	-0.5	2600.0	0.389533047137675
24.0	0.8	-0.5	2600.0	0.42690420814381
6.0	1.0	-0.5	2600.0	0.9880230192860124
8.0	1.0	-0.5	2600.0	0.9698772624832717
10.0	1.0	-0.5	2600.0	0.7263319669150669
12.0	1.0	-0.5	2600.0	0.48297188024457305
14.0	1.0	-0.5	2600.0	0.4168463414030867
16.0	1.0	-0.5	2600.0	0.3792399524570274
18.0	1.0	-0.5	2600.0	0.38176927377651526
20.0	1.0	-0.5	2600.0	0.39145208006285775
22.0	1.0	-0.5	2600.0	0.41829825159049133
24.0	1.0	-0.5	2600.0	0.4832614889785584
6.0	1.2	-0.5	2600.0	0.9881204370937636
8.0	1.2	-0.5	2600.0	0.9866186352078494
10.0	1.2	-0.5	2600.0	0.8321386680986267
12.0	1.2	-0.5	2600.0	0.5846175306515651
14.0	1.2	-0.5	2600.0	0.4575392532366722
16.0	1.2	-0.5	2600.0	0.41319475965975827
18.0	1.2	-0.5	2600.0	0.400147726346114
20.0	1.2	-0.5	2600.0	0.4179189083014869
22.0	1.2	-0.5	2600.0	0.4482013311393959
24.0	1.2	-0.5	2600.0	0.5314487224756899
6.0	1.4	-0.5	2600.0	0.9882135055578729
8.0	1.4	-0.5	2600.0	0.9913039638200183
10.0	1.4	-0.5	2600.0	0.9103468282520373
12.0	1.4	-0.5	2600.0	0.6908033360617951
14.0	1.4	-0.5	2600.0	0.5199321104232943
16.0	1.4	-0.5	2600.0	0.4466992937216471
